,country_code,file,details
f,GB,"[{'v': 'azubi-timesheet-0.9.0.tar.gz'}, {'v': 'azubi-timesheet'}, {'v': '0.9.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscli-1.10.13-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.10.13'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure_cli_cdn-0.0.7-py2.py3-none-any.whl'}, {'v': 'azure-cli-cdn'}, {'v': '0.0.7'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'AWSpider-0.1.6.1.tar.gz'}, {'v': 'awspider'}, {'v': '0.1.6.1'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,SG,"[{'v': 'awsutils-s3-0.0.1.tar.gz'}, {'v': 'awsutils-s3'}, {'v': '0.0.1'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'requests'}, {'v': '2.18.4'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscli_plugin_yubikeytotp-0.1.1.dev1-py3-none-any.whl'}, {'v': 'awscli-plugin-yubikeytotp'}, {'v': '0.1.1.dev1'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,SG,"[{'v': 'ayx_learn-0.0.1.171620-py3-none-any.whl'}, {'v': 'ayx-learn'}, {'v': '0.0.1.171620'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'requests'}, {'v': '2.18.4'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,SG,"[{'v': 'awscli42-1.16.135.2-py2.py3-none-any.whl'}, {'v': 'awscli42'}, {'v': '1.16.135.2'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'requests'}, {'v': '2.18.4'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'Axelrod-2.0.0.tar.gz'}, {'v': 'axelrod'}, {'v': '2.0.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscrt-0.2.16.tar.gz'}, {'v': 'awscrt'}, {'v': '0.2.16'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-policyinsights-0.1.1.tar.gz'}, {'v': 'azure-cli-policyinsights'}, {'v': '0.1.1'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,SG,"[{'v': 'axonbot-1.0.3-py2.py3-none-any.whl'}, {'v': 'axonbot'}, {'v': '1.0.3'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'requests'}, {'v': '2.18.4'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'AWSEnums-0.0.1.dev3.tar.gz'}, {'v': 'awsenums'}, {'v': '0.0.1.dev3'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-acs-0.1.0b9.tar.gz'}, {'v': 'azure-cli-acs'}, {'v': '0.1.0b9'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-cosmosdb-0.2.2.tar.gz'}, {'v': 'azure-cli-cosmosdb'}, {'v': '0.2.2'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,DE,"[{'v': 'awscli-1.16.12-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.16.12'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '38.4.0'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'AWSpider-0.1.6.0.tar.gz'}, {'v': 'awspider'}, {'v': '0.1.6.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscli-1.11.143-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.11.143'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure_cli_extension-0.0.3-py2.py3-none-any.whl'}, {'v': 'azure-cli-extension'}, {'v': '0.0.3'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-sql-2.0.5.tar.gz'}, {'v': 'azure-cli-sql'}, {'v': '2.0.5'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-keyvault-2.0.10.tar.gz'}, {'v': 'azure-cli-keyvault'}, {'v': '2.0.10'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,SG,"[{'v': 'AxisUtilities-19.11.15.40361-py3-none-any.whl'}, {'v': 'axisutilities'}, {'v': '19.11.15.40361'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'requests'}, {'v': '2.18.4'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscrt-0.2.22-cp35-cp35m-manylinux1_x86_64.whl'}, {'v': 'awscrt'}, {'v': '0.2.22'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-component-0.1.0b7.tar.gz'}, {'v': 'azure-cli-component'}, {'v': '0.1.0b7'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awswrangler-0.3.2-py3.6.egg'}, {'v': 'awswrangler'}, {'v': '0.3.2'}, {'v': 'bdist_egg'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '41.6.0'}]}}, {'v': '3.6'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure_cis_scanner-0.3.5-py3-none-any.whl'}, {'v': 'azure-cis-scanner'}, {'v': '0.3.5'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-appservice-0.2.11.tar.gz'}, {'v': 'azure-cli-appservice'}, {'v': '0.2.11'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awssamlpy3-1.0.6.2.tar.gz'}, {'v': 'awssamlpy3'}, {'v': '1.0.6.2'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure_cli_appservice-0.1.6-py2.py3-none-any.whl'}, {'v': 'azure-cli-appservice'}, {'v': '0.1.6'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,CN,"[{'v': 'Axelrod-3.0.0.tar.gz'}, {'v': 'axelrod'}, {'v': '3.0.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscrt-0.5.2.tar.gz'}, {'v': 'awscrt'}, {'v': '0.5.2'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,SG,"[{'v': 'awscrt-0.3.3.tar.gz'}, {'v': 'awscrt'}, {'v': '0.3.3'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'requests'}, {'v': '2.18.4'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-acs-2.4.3.tar.gz'}, {'v': 'azure-cli-acs'}, {'v': '2.4.3'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-iot-0.1.7.tar.gz'}, {'v': 'azure-cli-iot'}, {'v': '0.1.7'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.16.80-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.16.80'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'Nexus'}, {'v': '3.13.0-01'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,SE,"[{'v': 'awscli-1.16.302-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.16.302'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'requests'}, {'v': '2.22.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'aztfgen-0.1.3.tar.gz'}, {'v': 'aztfgen'}, {'v': '0.1.3'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.16.295-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.16.295'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'requests'}, {'v': '2.22.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-configure-2.0.22.tar.gz'}, {'v': 'azure-cli-configure'}, {'v': '2.0.22'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awsebcli-3.3.tar.gz'}, {'v': 'awsebcli'}, {'v': '3.3'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'AWSpider-0.2.8.0.tar.gz'}, {'v': 'awspider'}, {'v': '0.2.8.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscli-1.16.170-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.16.170'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-acs-2.0.24.tar.gz'}, {'v': 'azure-cli-acs'}, {'v': '2.0.24'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,EU,"[{'v': 'awscli-1.16.224-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.16.224'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'Artifactory'}, {'v': '6.5.9'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'ax-0.22.0-py3-none-any.whl'}, {'v': 'ax'}, {'v': '0.22.0'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure_cli_backup-1.2.1-py2.py3-none-any.whl'}, {'v': 'azure-cli-backup'}, {'v': '1.2.1'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure_cli_monitor-0.0.9-py2.py3-none-any.whl'}, {'v': 'azure-cli-monitor'}, {'v': '0.0.9'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscrt-0.5.1-cp35-cp35m-win_amd64.whl'}, {'v': 'awscrt'}, {'v': '0.5.1'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscrt-0.3.3-cp34-cp34m-manylinux1_i686.whl'}, {'v': 'awscrt'}, {'v': '0.3.3'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.18.11-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.18.11'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'requests'}, {'v': '2.23.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'axeman-1.8.tar.gz'}, {'v': 'axeman'}, {'v': '1.8'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,DK,"[{'v': 'awsplain-0.0.15-py3-none-any.whl'}, {'v': 'awsplain'}, {'v': '0.0.15'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'requests'}, {'v': '2.22.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-sql-2.0.20.tar.gz'}, {'v': 'azure-cli-sql'}, {'v': '2.0.20'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awshelpers-0.0.17-py2-none-any.whl'}, {'v': 'awshelpers'}, {'v': '0.0.17'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscli-1.16.152-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.16.152'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'axonius_api_client-2.0.7-py2.py3-none-any.whl'}, {'v': 'axonius-api-client'}, {'v': '2.0.7'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-servicefabric-0.1.2.tar.gz'}, {'v': 'azure-cli-servicefabric'}, {'v': '0.1.2'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure_cli_feedback-2.1.2-py2.py3-none-any.whl'}, {'v': 'azure-cli-feedback'}, {'v': '2.1.2'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-botservice-0.1.9.tar.gz'}, {'v': 'azure-cli-botservice'}, {'v': '0.1.9'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'Axelrod-0.0.10.tar.gz'}, {'v': 'axelrod'}, {'v': '0.0.10'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscli-1.16.278.tar.gz'}, {'v': 'awscli'}, {'v': '1.16.278'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-container-0.3.5.tar.gz'}, {'v': 'azure-cli-container'}, {'v': '0.3.5'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,IN,"[{'v': 'azure_ai_nspkg-1.0.0-py2-none-any.whl'}, {'v': 'azure-ai-nspkg'}, {'v': '1.0.0'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '40.3.0'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscli-plugin-yubikeytotp-1.0.0b1.tar.gz'}, {'v': 'awscli-plugin-yubikeytotp'}, {'v': '1.0.0b1'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'axju-jokes-1.0.1.tar.gz'}, {'v': 'axju-jokes'}, {'v': '1.0.1'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'Axiom-0.6.0.tar.gz'}, {'v': 'axiom'}, {'v': '0.6.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awsume-1.2.0.tar.gz'}, {'v': 'awsume'}, {'v': '1.2.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.1.0.tar.gz'}, {'v': 'awscli'}, {'v': '1.1.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '36.2.7'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscli-1.16.241.tar.gz'}, {'v': 'awscli'}, {'v': '1.16.241'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awswrangler-0.0b25-py36,py37-none-any.whl'}, {'v': 'awswrangler'}, {'v': '0.0b25'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,SG,"[{'v': 'awscrt-0.2.22-cp37-cp37m-win_amd64.whl'}, {'v': 'awscrt'}, {'v': '0.2.22'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'requests'}, {'v': '2.18.4'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,CN,"[{'v': 'AX3%20model%20extras-1.2.3.tar.gz'}, {'v': 'ax3-model-extras'}, {'v': '1.2.3'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'Browser'}, {'v': None}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-keyvault-2.0.22.tar.gz'}, {'v': 'azure-cli-keyvault'}, {'v': '2.0.22'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'azure-cli-2.0.0.tar.gz'}, {'v': 'azure-cli'}, {'v': '2.0.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscli-1.16.65.tar.gz'}, {'v': 'awscli'}, {'v': '1.16.65'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.11.72-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.11.72'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'Nexus'}, {'v': '3.15.2-01'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.16.116-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.16.116'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'requests'}, {'v': '2.23.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscli-1.11.183.tar.gz'}, {'v': 'awscli'}, {'v': '1.11.183'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,CN,"[{'v': 'AyanREngineSDK-0.0.13.tar.gz'}, {'v': 'ayanrenginesdk'}, {'v': '0.0.13'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,GB,"[{'v': 'awscli-1.10.24.tar.gz'}, {'v': 'awscli'}, {'v': '1.10.24'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'bandersnatch'}, {'v': '3.6.0'}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,FR,"[{'v': 'aylien_news_api-3.0.0-py3-none-any.whl'}, {'v': 'aylien-news-api'}, {'v': '3.0.0'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'Browser'}, {'v': None}]}}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
