,country_code,file,details
f,US,"[{'v': 'axe_selenium_python-2.1.6-py2.py3-none-any.whl'}, {'v': 'axe-selenium-python'}, {'v': '2.1.6'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '40.8.0'}]}}, {'v': '3.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.18.12.tar.gz'}, {'v': 'awscli'}, {'v': '1.18.12'}, {'v': 'sdist'}]","[{'v': None}, {'v': '2.6'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.11.82-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.11.82'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '45.0.0'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.18.17-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.18.17'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '38.4.0'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.1.0.tar.gz'}, {'v': 'awscli'}, {'v': '1.1.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '36.2.7'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.1.0.tar.gz'}, {'v': 'awscli'}, {'v': '1.1.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '36.2.7'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.18.17-py2.py3-none-any.whl'}, {'v': 'awscli'}, {'v': '1.18.17'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '38.4.0'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.1.0.tar.gz'}, {'v': 'awscli'}, {'v': '1.1.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '36.2.7'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'axe_selenium_python-2.1.6-py2.py3-none-any.whl'}, {'v': 'axe-selenium-python'}, {'v': '2.1.6'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '40.8.0'}]}}, {'v': '3.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.1.0.tar.gz'}, {'v': 'awscli'}, {'v': '1.1.0'}, {'v': 'sdist'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '36.2.7'}]}}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'axe_selenium_python-2.1.6-py2.py3-none-any.whl'}, {'v': 'axe-selenium-python'}, {'v': '2.1.6'}, {'v': 'bdist_wheel'}]","[{'v': {'f': [{'v': 'setuptools'}, {'v': '39.0.1'}]}}, {'v': '3.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,US,"[{'v': 'awscli-1.18.12.tar.gz'}, {'v': 'awscli'}, {'v': '1.18.12'}, {'v': 'sdist'}]","[{'v': None}, {'v': '2.6'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
f,AU,"[{'v': 'awscli-1.11.150.tar.gz'}, {'v': 'awscli'}, {'v': '1.11.150'}, {'v': 'sdist'}]","[{'v': None}, {'v': '2.7'}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}, {'v': None}]"
